,id,num_nodes_joke,num_nodes_nonj
424,5oyojn,7,7
425,3oweam,4,2
426,6bp99p,4,4
427,dlx2xg,2,2
428,4jy0xe,3,4
429,4jz5se,6,6
430,5427pq,6,6
431,1hfywn,7,7
432,3osvbb,4,4
433,235j2e,8,0
434,3hirwt,3,4
435,4k8ywj,3,4
436,53dboa,4,2
437,24b4es,6,6
438,42sme9,6,6
439,6d8xcn,5,5
440,4kiaq4,4,3
441,5s4xu5,4,4
442,53g3bj,4,4
443,5bgzso,8,8
444,3ozpdw,7,0
445,4kcx2h,3,5
446,60yirg,3,3
447,53mafl,8,9
448,1j0qvt,3,3
449,67mmnw,5,5
450,21h0pk,4,4
451,21k0tq,9,7
452,681q65,12,12
453,54nq92,4,4
454,42zrly,7,7
455,68gu94,6,6
456,5axzq4,6,8
457,445x98,8,8
458,3ofm91,2,3
459,3id054,4,4
460,54xitc,4,3
461,4311hv,9,7
462,1j5y6z,8,10
463,1j4o0u,5,5
464,1j3wnu,8,8
465,69pgr4,4,4
466,22ehxi,5,6
467,3hm6ao,2,2
468,4jwj71,8,8
469,22gwhw,3,0
470,5b5ogw,12,11
471,5b1hjn,13,0
472,42yrjt,7,7
473,696ecn,9,9
474,4f50mp,6,6
475,69dx2v,7,7
476,3oo6zc,9,9
477,1ft3bm,9,9
478,6itrsy,4,4
479,dbju4r,3,4
480,4wboze,2,4
481,4w6dko,5,6
482,4vyjpe,6,5
483,6jhm6k,8,8
484,4xh96p,7,7
485,5rrzyw,7,5
486,4x6iln,3,3
487,4wo0gs,6,6
488,4wy3jw,4,4
489,3e2ejd,6,6
490,6lgk62,5,6
491,6lqimu,2,2
492,5c2ogh,3,5
493,26bqpi,5,5
494,4lifmb,4,4
495,6jynoe,5,5
496,6jz05f,3,3
497,6k64b6,8,5
498,dacxpj,5,5
499,3pn5jk,3,4
500,5ndmun,3,2
501,50wtxp,4,2
502,dhpg21,11,0
503,4em47x,2,5
504,1f3nfg,10,10
505,1f2vpo,5,5
506,3fscp0,11,12
507,5bt7d7,2,2
508,52a0v9,5,5
509,3gbbo8,3,3
510,51reno,6,5
511,3g4x55,2,7
512,5p2yup,9,9
513,3fov2s,3,5
514,25pamz,4,5
515,1ec2kq,2,2
516,3f672a,3,4
517,4xwe5e,3,4
518,de1ijn,7,7
519,25xwi7,8,8
520,60npct,4,3
521,1eve0o,5,5
522,25h65x,6,6
523,3pa8hg,3,3
524,4zmlbw,11,5
525,6gf4jo,11,11
526,6gjmin,4,5
527,3ff823,4,3
528,3pbqji,8,8
529,3lh8oo,3,3
530,57p7p9,9,0
531,64vq3u,0,2
532,1vc28n,3,3
533,4hmrhe,7,4
534,59t3jq,5,5
535,1p2hty,7,7
536,5thb97,6,6
537,3lpu8k,3,4
538,ecfa9w,3,2
539,64nayo,10,7
540,5o4uqr,4,4
541,57wxis,4,4
542,4he2pb,4,4
543,1uxomg,4,4
544,1q0i6n,8,8
545,59zon0,2,3
546,e858ej,12,8
547,4hz4f7,5,5
548,3ntcd5,4,4
549,43xwmc,3,5
550,57hij0,4,3
551,1vrn4q,8,7
552,e9h2f9,5,5
553,1vwa7i,7,7
554,62j7dh,4,4
555,5o34g8,2,5
556,3mnzs6,5,5
557,58qrwd,3,4
558,3mc7ac,5,5
559,1tdsvz,7,6
560,3m9jec,2,3
561,3mxt4r,4,8
562,43r13m,8,8
563,5oe2hm,7,0
564,1s7pm2,10,0
565,4gmpwu,3,4
566,63kpyc,10,11
567,1spj4i,3,5
568,593f9l,3,3
569,58dma9,5,5
570,43lj7q,2,2
571,64e2ub,3,4
572,1qhd07,4,5
573,64fb30,9,8
574,58409r,5,4
575,59k9ml,10,9
576,59gm4w,7,4
577,5ogvky,6,6
578,ef3xzv,5,7
579,4gd56r,3,3
580,1qxkfp,5,6
581,1qvkso,5,5
582,5o8gqg,9,9
583,65in0t,4,3
584,3j9vdh,10,10
