,id,deg_assortativity_coefficient_joke,deg_assortativity_coefficient_njok
613,97pppp,,
614,97pppp,0.14907119849998599,0.14907119849998599
615,97pppp,,
616,97pppp,,
617,97pppp,-0.449013255066937,-0.449013255066937
618,97pppp,,
619,97pppp,,
620,97pppp,,
621,97pppp,-0.30000000000000154,-0.30000000000000154
622,97pppp,,
623,97pppp,,
624,97pppp,-0.5773502691896258,-0.6123724356957957
625,97pppp,-0.35355339059327506,-0.35355339059327506
626,97pppp,-0.6123724356957957,
627,97pppp,,
628,97pppp,,
629,97pppp,,
630,97pppp,,
631,97pppp,,
632,97pppp,inf,inf
633,97pppp,inf,inf
634,97pppp,,
635,97pppp,0.40824829046386113,0.40824829046386113
636,97pppp,-0.6666666666666677,-0.4999999999999988
637,97pppp,-0.42563409586362366,
638,97pppp,,
639,97pppp,0.0,0.0
640,97pppp,,
641,97pppp,,
642,97pppp,,
643,97pppp,,
644,97pppp,-0.4999999999999988,-0.7937253933193794
645,97pppp,,inf
646,97pppp,-0.24845199749997662,-0.24845199749997662
647,97pppp,-0.4414147946478204,-0.41036467732879794
648,97pppp,,
649,97pppp,-0.3965842022354628,-0.41666666666666596
650,97pppp,,
651,97pppp,0.16666666666666557,
652,97pppp,-0.4999999999999998,-0.250000000000001
653,97pppp,,
654,97pppp,,
655,97pppp,,
656,97pppp,,
657,97pppp,0.40824829046386113,0.40824829046386113
658,97pppp,-0.28426762180748044,-0.28426762180748044
659,97pppp,-0.35355339059327184,
660,97pppp,,
661,97pppp,-0.22537446792760493,-0.22537446792760493
662,97pppp,,
663,97pppp,,
664,97pppp,-0.1348399724926485,-0.5118745001228026
665,97pppp,,
666,97pppp,,
667,97pppp,0.16666666666666557,0.16666666666666557
668,97pppp,,
669,97pppp,-0.4880935300919782,-0.4880935300919782
670,97pppp,inf,inf
671,97pppp,,
672,97pppp,-0.6666666666666686,-0.6666666666666686
673,97pppp,0.14285714285714285,-0.15944820103582463
674,97pppp,,
675,97pppp,0.25819888974716015,inf
676,97pppp,-0.8215838362577486,-0.7456011350793258
677,97pppp,,
678,97pppp,,
